Instrument Name,SDS2104X HD
Serial Number,SDS2HBAX6R0124
Software Version,2.6.1.2.1.1
Awg Type,USB
DUT Input Source,CH4
DUT Output Source1,CH1
DUT Output Source2,CH2
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,1V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100Hz
Stop Frequency,1000000Hz
Sweep Line,400
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-70.2dB,-22.2dB
Phase Unit,Degree
Phase Axis Range,-200Deg,0Deg
Bode Data
Number of Points,81
Frequency(Hz),CH1 Amplitude(dB),CH1 Phase(Deg),CH2 Amplitude(dB),CH2 Phase(Deg)
281838.293,-34.2273876,-86.7890691,-0.261435161,1.0369985
316227.766,-35.2652904,-86.7426167,-0.261913304,0.918397597
354813.389,-36.2878961,-86.6007642,-0.262622784,0.821265361
398107.171,-37.3100403,-86.4683647,-0.258215237,0.732307605
446683.592,-38.3664693,-86.1403514,-0.263181603,0.649154859
501187.234,-39.4029936,-85.9200078,-0.266609786,0.57575883
562341.325,-40.4888486,-85.6458509,-0.263879106,0.511496606
630957.344,-41.5691931,-85.0384416,-0.267875244,0.450197832
707945.784,-42.6843407,-84.4397941,-0.264503637,0.406296962
794328.235,-43.7966441,-83.8275391,-0.261995327,0.35902823
891250.938,-44.9614031,-83.1206137,-0.263869279,0.325096126
1000000,-46.1460776,-81.660095,-0.264301575,0.278223004
